Демидов|ДемидовскийРайон|67|СмоленскаяОбласть|района
Дербент|(региональное)|05|ДагестанРеспублика|-
Десногорск|(региональное)|67|СмоленскаяОбласть|-
Джанкой|(региональное)|91|КрымРеспублика|-
Джанкой|ДжанкойскийРайон|91|КрымРеспублика|-
Дзержинск|(региональное)|52|НижегородскаяОбласть|-
Дзержинский|(региональное)|50|МосковскаяОбласть|-
Дивногорск|(региональное)|24|КрасноярскийКрай|-
Дигора|ДигорскийРайон|15|СевернаяОсетия-АланияРеспублика|района
Димитровград|(региональное)|73|УльяновскаяОбласть|-
Дмитриев|ДмитриевскийРайон|46|КурскаяОбласть|-
Дмитров|ДмитровскийРайон|50|МосковскаяОбласть|района
Дмитровск|ДмитровскийРайон|57|ОрловскаяОбласть|района
Дно|ДновскийРайон|60|ПсковскаяОбласть|района
Добрянка|(региональное)|59|ПермскийКрай|-
Долгопрудный|(региональное)|50|МосковскаяОбласть|-
Долинск|ДолинскийРайон|65|СахалинскаяОбласть|района
Домодедово|(региональное)|50|МосковскаяОбласть|-
Донецк|(региональное)|61|РостовскаяОбласть|-
Донской|(региональное)|71|ТульскаяОбласть|-
Дорогобуж|ДорогобужскийРайон|67|СмоленскаяОбласть|района
Дрезна|Орехово-ЗуевскийРайон|50|МосковскаяОбласть|-
Дубна|(региональное)|50|МосковскаяОбласть|-
Дубовка|ДубовскийРайон|34|ВолгоградскаяОбласть|района
Дудинка|ТаймырскийДолгано-НенецкийРайон|24|КрасноярскийКрай|района
Духовщина|ДуховщинскийРайон|67|СмоленскаяОбласть|района
Дюртюли|ДюртюлинскийРайон|02|БашкортостанРеспублика|района
Дятьково|ДятьковскийРайон|32|БрянскаяОбласть|района
Евпатория|(региональное)|91|КрымРеспублика|-
Егорьевск|ЕгорьевскийРайон|50|МосковскаяОбласть|района
Ейск|ЕйскийРайон|23|КраснодарскийКрай|района
Екатеринбург|(региональное)|66|СвердловскаяОбласть|региона
Елабуга|ЕлабужскийРайон|16|ТатарстанРеспублика|района
Елец|(региональное)|48|ЛипецкаяОбласть|-
Елизово|ЕлизовскийРайон|41|КамчатскийКрай|района
Ельня|ЕльнинскийРайон|67|СмоленскаяОбласть|района
Еманжелинск|ЕманжелинскийРайон|74|ЧелябинскаяОбласть|района
Емва|КняжпогостскийРайон|11|КомиРеспублика|района
Енисейск|(региональное)|24|КрасноярскийКрай|-
Ермолино|БоровскийРайон|40|КалужскаяОбласть|-
Ершов|ЕршовскийРайон|64|СаратовскаяОбласть|района
Ессентуки|(региональное)|26|СтавропольскийКрай|-
Ефремов|ЕфремовскийРайон|71|ТульскаяОбласть|района
Железноводск|(региональное)|26|СтавропольскийКрай|-
Железногорск|(региональное)|24|КрасноярскийКрай|-
Железногорск|(региональное)|46|КурскаяОбласть|района
Железногорск-Илимский|НижнеилимскийРайон|38|ИркутскаяОбласть|района
Железнодорожный|(региональное)|50|МосковскаяОбласть|-
Жердевка|ЖердевскийРайон|68|ТамбовскаяОбласть|района
Жигулевск|(региональное)|63|СамарскаяОбласть|-
Жиздра|ЖиздринскийРайон|40|КалужскаяОбласть|района
Жирновск|ЖирновскийРайон|34|ВолгоградскаяОбласть|района
Жуков|ЖуковскийРайон|40|КалужскаяОбласть|района
Жуковка|ЖуковскийРайон|32|БрянскаяОбласть|района
Жуковский|(региональное)|50|МосковскаяОбласть|-
Завитинск|ЗавитинскийРайон|28|АмурскаяОбласть|района
Заводоуковск|ЗаводоуковскийРайон|72|ТюменскаяОбласть|района
Заволжск|ЗаволжскийРайон|37|ИвановскаяОбласть|района
Заволжье|ГородецкийРайон|52|НижегородскаяОбласть|-
